,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,ScoreDiff,RushAvgOff,PassCompRateOff,PassYardsAttOff,RushAvgDef,PassCompRateDef,PassYardsAttDef
1,08/29/2013,Ball State,51,32,80,40,24,340,0,Illinois State,28,36,74,29,20,282,1,23,2.5,0.6,8.5,2.06,0.69,9.72
2,08/29/2013,Bowling Green,34,53,233,28,12,163,1,Tulsa,7,24,51,41,20,222,0,27,4.4,0.43,5.82,2.12,0.49,5.41
4,08/29/2013,Fresno State,52,23,81,74,53,470,1,Rutgers,51,32,195,41,26,348,1,1,3.52,0.72,6.35,6.09,0.63,8.49
6,08/29/2013,Indiana,73,54,313,30,17,319,2,Indiana State,35,39,131,32,12,175,1,38,5.8,0.57,10.63,3.36,0.38,5.47
7,08/29/2013,Kent State,17,49,167,28,21,194,0,Liberty,10,22,33,22,14,189,0,7,3.41,0.75,6.93,1.5,0.64,8.59
8,08/29/2013,Middle Tennessee,45,49,270,27,19,205,0,Western Carolina,24,35,114,36,19,257,2,21,5.51,0.7,7.59,3.26,0.53,7.14
9,08/29/2013,Minnesota,51,38,221,23,10,99,1,Nevada-Las Vegas,23,34,193,51,36,226,2,28,5.82,0.43,4.3,5.68,0.71,4.43
10,08/29/2013,Mississippi,39,37,206,47,31,283,0,Vanderbilt,35,33,126,36,21,300,2,4,5.57,0.66,6.02,3.82,0.58,8.33
14,08/29/2013,San Jose State,24,29,142,32,16,225,0,Sacramento State,0,39,86,40,23,192,2,24,4.9,0.5,7.03,2.21,0.57,4.8
16,08/29/2013,South Carolina,27,38,228,21,12,178,0,North Carolina,10,36,99,43,26,194,0,17,6.0,0.57,8.48,2.75,0.6,4.51
17,08/29/2013,Southern Cal,30,45,192,29,15,172,1,Hawaii,13,31,23,41,16,208,4,17,4.27,0.52,5.93,0.74,0.39,5.07
18,08/29/2013,Tulane,34,43,158,16,7,150,0,Jackson State,7,48,112,29,15,244,4,27,3.67,0.44,9.38,2.33,0.52,8.41
20,08/29/2013,U-C-F,38,39,157,27,19,319,0,Akron,7,35,134,25,18,116,1,31,4.03,0.7,11.81,3.83,0.72,4.64
21,08/29/2013,Utah,30,44,148,28,17,302,0,Utah State,26,39,173,40,31,314,0,4,3.36,0.61,10.79,4.44,0.78,7.85
24,08/29/2013,Wake Forest,31,54,189,26,14,219,0,Presbyterian,7,24,102,19,11,49,3,24,3.5,0.54,8.42,4.25,0.58,2.58
25,08/30/2013,Arizona,35,34,306,13,9,87,0,Northern Arizona,0,39,94,36,21,176,3,35,9.0,0.69,6.69,2.41,0.58,4.89
26,08/30/2013,Army,28,42,295,8,4,101,0,Morgan State,12,52,185,10,6,116,0,16,7.02,0.5,12.62,3.56,0.6,11.6
29,08/30/2013,Houston,62,50,372,38,26,255,0,Southern Univ,13,30,104,36,27,268,1,49,7.44,0.68,6.71,3.47,0.75,7.44
31,08/30/2013,Miami-Florida,34,38,303,31,18,200,1,Florida Atlantic,6,43,133,32,16,117,0,28,7.97,0.58,6.45,3.09,0.5,3.66
32,08/30/2013,Michigan State,26,42,181,37,17,116,0,Western Michigan,13,27,11,48,18,193,3,13,4.31,0.46,3.14,0.41,0.38,4.02
34,08/30/2013,Texas Tech,41,27,48,60,43,413,0,S-M-U,23,31,102,62,41,388,0,18,1.78,0.72,6.88,3.29,0.66,6.26
36,08/31/2013,Air Force,38,64,409,11,7,72,0,Colgate,13,41,157,27,14,143,0,25,6.39,0.64,6.55,3.83,0.52,5.3
37,08/31/2013,Alabama,35,38,96,24,10,110,1,Virginia Tech,10,33,153,26,5,59,1,25,2.53,0.42,4.58,4.64,0.19,2.27
38,08/31/2013,Arkansas,34,51,292,23,15,230,0,UL-Lafayette,14,32,85,31,17,189,1,20,5.73,0.65,10.0,2.66,0.55,6.1
39,08/31/2013,Arkansas State,62,57,509,13,10,163,0,Arkansas-Pine Bluff,11,31,12,27,13,161,0,51,8.93,0.77,12.54,0.39,0.48,5.96
40,08/31/2013,Auburn,31,45,297,20,10,99,0,Washington State,24,23,120,65,35,344,3,7,6.6,0.5,4.95,5.22,0.54,5.29
41,08/31/2013,Baylor,69,44,281,28,23,411,0,Wofford,3,60,173,17,8,60,1,66,6.39,0.82,14.68,2.88,0.47,3.53
43,08/31/2013,Boston College,24,40,128,30,23,285,0,Villanova,14,36,197,26,16,158,3,10,3.2,0.77,9.5,5.47,0.62,6.08
48,08/31/2013,Cincinnati,42,47,221,25,17,204,2,Purdue,7,22,65,35,18,161,2,35,4.7,0.68,8.16,2.95,0.51,4.6
49,08/31/2013,Clemson,38,46,197,30,18,270,0,Georgia,35,41,222,29,20,323,1,3,4.28,0.6,9.0,5.41,0.69,11.14
50,08/31/2013,Duke,45,49,257,28,21,231,1,No Carolina Central,0,29,81,32,14,103,1,45,5.24,0.75,8.25,2.79,0.44,3.22
51,08/31/2013,East Carolina,52,22,34,54,46,447,0,Old Dominion,38,23,90,52,39,370,0,14,1.55,0.85,8.28,3.91,0.75,7.12
52,08/31/2013,Eastern Michigan,34,42,170,26,19,210,1,Howard,24,35,202,32,19,182,2,10,4.05,0.73,8.08,5.77,0.59,5.69
53,08/31/2013,Florida,24,48,262,22,17,153,0,Toledo,6,16,50,38,17,155,1,18,5.46,0.77,6.95,3.12,0.45,4.08
56,08/31/2013,Georgia Tech,70,50,368,11,7,189,0,Elon,0,34,89,35,20,164,3,70,7.36,0.64,17.18,2.62,0.57,4.69
58,08/31/2013,Illinois,42,30,49,37,29,415,1,Southern Illinois,34,26,66,41,26,341,0,8,1.63,0.78,11.22,2.54,0.63,8.32
62,08/31/2013,Louisiana State,37,48,197,32,16,251,0,Texas Christian,27,26,114,28,15,145,1,10,4.1,0.5,7.84,4.38,0.54,5.18
64,08/31/2013,Marshall,52,57,304,37,24,287,1,Miami-Ohio,14,34,74,23,10,165,1,38,5.33,0.65,7.76,2.18,0.43,7.17
65,08/31/2013,Maryland,43,42,251,29,25,325,0,Florida Intl,10,40,91,22,10,80,1,33,5.98,0.86,11.21,2.28,0.45,3.64
68,08/31/2013,Michigan,59,47,242,21,14,221,3,Central Michigan,9,29,66,28,13,144,1,50,5.15,0.67,10.52,2.28,0.46,5.14
70,08/31/2013,Missouri,58,45,358,42,28,336,0,Murray State,14,36,123,39,23,174,3,44,7.96,0.67,8.0,3.42,0.59,4.46
71,08/31/2013,Nebraska,37,63,375,22,17,155,1,Wyoming,34,30,219,44,29,383,2,3,5.95,0.77,7.05,7.3,0.66,8.7
75,08/31/2013,No Carolina State,40,56,237,31,18,305,1,Louisiana Tech,14,33,143,27,15,178,0,26,4.23,0.58,9.84,4.33,0.56,6.59
76,08/31/2013,North Texas,40,45,187,34,28,404,1,Idaho,6,35,160,28,19,230,0,34,4.16,0.82,11.88,4.57,0.68,8.21
77,08/31/2013,Northern Illinois,30,42,163,41,25,275,0,Iowa,27,43,202,37,21,256,2,3,3.88,0.61,6.71,4.7,0.57,6.92
78,08/31/2013,Northwestern,44,40,209,30,19,299,2,California,30,35,93,64,39,455,3,14,5.22,0.63,9.97,2.66,0.61,7.11
79,08/31/2013,Notre Dame,28,35,188,27,17,355,0,Temple,6,29,134,47,23,228,0,22,5.37,0.63,13.15,4.62,0.49,4.85
80,08/31/2013,Ohio State,40,45,261,23,16,199,1,Buffalo,20,35,73,32,19,185,1,20,5.8,0.7,8.65,2.09,0.59,5.78
81,08/31/2013,Oklahoma,34,50,305,33,14,124,1,UL-Monroe,0,22,38,39,20,128,1,34,6.1,0.42,3.76,1.73,0.51,3.28
82,08/31/2013,Oklahoma State,21,40,286,33,21,146,0,Mississippi State,3,37,111,33,17,222,2,18,7.15,0.64,4.42,3.0,0.52,6.73
83,08/31/2013,Oregon,66,45,500,26,15,272,0,Nicholls State,3,37,87,50,25,256,0,63,11.11,0.58,10.46,2.35,0.5,5.12
85,08/31/2013,Penn State,23,38,57,32,23,296,2,Syracuse,17,37,71,37,16,189,2,6,1.5,0.72,9.25,1.92,0.43,5.11
93,08/31/2013,Tennessee,45,52,315,21,15,132,0,Austin Peay,0,27,79,26,13,132,2,45,6.06,0.71,6.29,2.93,0.5,5.08
94,08/31/2013,Texas,56,42,359,30,22,356,2,New Mexico State,7,38,104,46,32,242,1,49,8.55,0.73,11.87,2.74,0.7,5.26
95,08/31/2013,Texas A+M,52,39,202,27,20,284,0,Rice,31,51,306,37,21,203,2,21,5.18,0.74,10.52,6.0,0.57,5.49
97,08/31/2013,Texas State,22,40,81,22,14,134,0,Southern Miss,15,24,23,53,28,377,2,7,2.02,0.64,6.09,0.96,0.53,7.11
98,08/31/2013,Texas-San Antonio,21,33,157,34,21,237,0,New Mexico,13,42,193,17,6,84,0,8,4.76,0.62,6.97,4.6,0.35,4.94
100,08/31/2013,Troy,34,39,178,33,30,319,0,U-A-B,31,31,114,35,21,339,0,3,4.56,0.91,9.67,3.68,0.6,9.69
102,08/31/2013,U.C.L.A.,58,47,345,35,24,302,0,Nevada-Reno,20,51,171,35,21,182,0,38,7.34,0.69,8.63,3.35,0.6,5.2
105,08/31/2013,Virginia,19,42,109,32,18,114,1,Brigham Young,16,53,187,40,13,175,1,3,2.6,0.56,3.56,3.53,0.32,4.38
107,08/31/2013,Washington,38,54,268,31,23,324,1,Boise State,6,42,171,46,29,175,1,32,4.96,0.74,10.45,4.07,0.63,3.8
109,08/31/2013,West Virginia,24,44,172,27,19,237,0,William + Mary,17,31,102,27,18,207,1,7,3.91,0.7,8.78,3.29,0.67,7.67
110,08/31/2013,Western Kentucky,35,41,216,34,27,271,0,Kentucky,26,32,216,28,18,203,0,9,5.27,0.79,7.97,6.75,0.64,7.25
111,08/31/2013,Wisconsin,45,44,393,18,10,205,1,Massachusetts,0,29,100,30,14,112,1,45,8.93,0.56,11.39,3.45,0.47,3.73
113,09/01/2013,Colorado,41,35,113,46,33,400,0,Colorado State,27,28,94,39,22,201,0,14,3.23,0.72,8.7,3.36,0.56,5.15
115,09/01/2013,Louisville,49,40,199,31,25,416,1,Ohio,7,28,81,31,15,192,1,42,4.97,0.81,13.42,2.89,0.48,6.19
117,09/02/2013,Florida State,41,33,156,29,27,357,0,Pittsburgh,13,24,96,28,15,201,2,28,4.73,0.93,12.31,4.0,0.54,7.18
119,09/05/2013,Arizona State,55,44,158,36,27,365,0,Sacramento State,0,31,51,23,12,116,2,55,3.59,0.75,10.14,1.65,0.52,5.04
120,09/05/2013,East Carolina,31,34,110,30,20,202,0,Florida Atlantic,13,34,104,40,23,178,2,18,3.24,0.67,6.73,3.06,0.57,4.45
122,09/06/2013,Boston College,24,46,191,14,7,123,1,Wake Forest,10,39,55,30,18,191,1,14,4.15,0.5,8.79,1.41,0.6,6.37
124,09/06/2013,U-C-F,38,38,165,21,14,225,0,Florida Intl,0,29,31,28,19,142,0,38,4.34,0.67,10.71,1.07,0.68,5.07
127,09/07/2013,Akron,35,25,69,32,20,287,1,James Madison,33,51,188,43,29,310,1,2,2.76,0.62,8.97,3.69,0.67,7.21
128,09/07/2013,Arizona,58,68,397,21,8,81,0,Nevada-Las Vegas,13,35,157,28,9,125,2,45,5.84,0.38,3.86,4.49,0.32,4.46
129,09/07/2013,Arkansas,31,53,333,17,9,125,0,Samford,21,25,114,28,19,117,0,10,6.28,0.53,7.35,4.56,0.68,4.18
132,09/07/2013,Auburn,38,51,299,19,11,167,0,Arkansas State,9,39,150,41,29,272,0,29,5.86,0.58,8.79,3.85,0.71,6.63
133,09/07/2013,Ball State,40,34,115,37,23,325,0,Army,14,64,363,20,7,76,1,26,3.38,0.62,8.78,5.67,0.35,3.8
134,09/07/2013,Baylor,70,55,329,25,19,452,0,Buffalo,13,49,83,26,15,280,1,57,5.98,0.76,18.08,1.69,0.58,10.77
135,09/07/2013,Boise State,63,49,220,32,20,252,0,Tennessee-Martin,14,49,152,35,21,210,4,49,4.49,0.62,7.88,3.1,0.6,6.0
136,09/07/2013,Bowling Green,41,46,219,25,19,357,0,Kent State,22,28,138,28,15,164,0,19,4.76,0.76,14.28,4.93,0.54,5.86
137,09/07/2013,Brigham Young,40,72,550,27,9,129,1,Texas,21,39,132,44,24,313,0,19,7.64,0.33,4.78,3.38,0.55,7.11
139,09/07/2013,California,37,44,131,51,33,485,0,Portland State,30,39,245,29,13,308,1,7,2.98,0.65,9.51,6.28,0.45,10.62
140,09/07/2013,Central Michigan,24,28,104,37,21,333,1,New Hampshire,21,43,158,27,17,227,1,3,3.71,0.57,9.0,3.67,0.63,8.41
142,09/07/2013,Clemson,52,44,183,51,36,329,0,So Carolina State,13,46,86,22,10,155,2,39,4.16,0.71,6.45,1.87,0.45,7.05
143,09/07/2013,Colorado,38,36,80,36,23,341,2,Central Arkansas,24,26,60,55,33,280,3,14,2.22,0.64,9.47,2.31,0.6,5.09
145,09/07/2013,Duke,28,45,173,37,25,297,1,Memphis,14,33,89,24,14,148,0,14,3.84,0.68,8.03,2.7,0.58,6.17
148,09/07/2013,Fresno State,41,40,162,34,23,208,0,Cal-San Luis Obispo,25,49,172,27,15,244,0,16,4.05,0.68,6.12,3.51,0.56,9.04
149,09/07/2013,Georgia,41,53,227,23,17,309,0,South Carolina,30,36,226,25,16,228,0,11,4.28,0.74,13.43,6.28,0.64,9.12
152,09/07/2013,Houston,22,48,219,48,29,305,0,Temple,13,39,100,39,20,200,2,9,4.56,0.6,6.35,2.56,0.51,5.13
154,09/07/2013,Illinois,45,39,210,37,26,312,0,Cincinnati,17,32,148,42,23,308,1,28,5.38,0.7,8.43,4.62,0.55,7.33
156,09/07/2013,Iowa,28,58,296,28,19,193,1,Missouri State,14,23,70,30,14,127,1,14,5.1,0.68,6.89,3.04,0.47,4.23
157,09/07/2013,Kansas,31,50,280,20,10,110,0,South Dakota,14,43,219,18,8,67,1,17,5.6,0.5,5.5,5.09,0.44,3.72
