,Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff
0,08/26/2000,Brigham Young,3.0,24,-2,46,18,227,3,0,Florida State,29.0,36,57,51,32,318,0,1,-26.0,-12,-59,-5,-14,-91,3,-1
1,08/26/2000,Florida State,29.0,36,57,51,32,318,0,1,Brigham Young,3.0,24,-2,46,18,227,3,0,26.0,12,59,5,14,91,-3,1
2,08/26/2000,Iowa,7.0,30,80,26,10,76,1,0,Kansas State,27.0,47,178,28,14,250,2,1,-20.0,-17,-98,-2,-4,-174,-1,-1
3,08/26/2000,Kansas State,27.0,47,178,28,14,250,2,1,Iowa,7.0,30,80,26,10,76,1,0,20.0,17,98,2,4,174,1,1
4,08/26/2000,Louisiana Tech,63.0,37,190,34,29,362,1,2,Miss Valley State,10.0,36,97,33,14,186,2,0,53.0,1,93,1,15,176,-1,2
5,08/26/2000,New Mexico,3.0,52,115,18,6,52,1,2,Texas Tech,24.0,24,69,47,21,186,1,0,-21.0,28,46,-29,-15,-134,0,2
6,08/26/2000,Penn State,5.0,22,6,30,10,136,1,0,Southern Cal,29.0,50,164,20,10,87,1,0,-24.0,-28,-158,10,0,49,0,0
7,08/26/2000,Southern Cal,29.0,50,164,20,10,87,1,0,Penn State,5.0,22,6,30,10,136,1,0,24.0,28,158,-10,0,-49,0,0
8,08/26/2000,Texas Tech,24.0,24,69,47,21,186,1,0,New Mexico,3.0,52,115,18,6,52,1,2,21.0,-28,-46,29,15,134,0,-2
9,09/02/2000,Air Force,55.0,74,583,20,11,115,1,0,Northridge State,6.0,32,125,29,15,102,1,2,49.0,42,458,-9,-4,13,0,-2
10,09/02/2000,Akron,23.0,44,162,30,14,248,1,1,Virginia Tech,52.0,48,335,16,9,214,1,3,-29.0,-4,-173,14,5,34,0,-2
11,09/02/2000,Arkansas State,31.0,45,179,25,13,152,0,2,No Carolina State,38.0,35,142,57,29,397,0,3,-7.0,10,37,-32,-16,-245,0,-1
12,09/02/2000,Alabama,24.0,30,146,30,11,119,1,2,U.C.L.A.,35.0,57,171,27,15,225,1,0,-11.0,-27,-25,3,-4,-106,0,2
13,09/02/2000,Arizona,17.0,39,135,15,3,11,0,0,Utah,3.0,39,60,51,21,310,2,3,14.0,0,75,-36,-18,-299,-2,-3
14,09/02/2000,Arkansas,38.0,49,183,29,20,249,0,0,S W Missouri St,0.0,22,47,20,8,51,1,1,38.0,27,136,9,12,198,-1,-1
15,09/02/2000,Army,17.0,34,120,29,14,123,1,1,Cincinnati,23.0,51,198,29,18,239,2,0,-6.0,-17,-78,0,-4,-116,-1,1
16,09/02/2000,Auburn,35.0,45,177,21,12,266,0,2,Wyoming,21.0,27,29,36,20,213,1,0,14.0,18,148,-15,-8,53,-1,2
17,09/02/2000,Arizona State,10.0,40,110,42,18,160,1,0,San Diego State,7.0,28,100,57,24,219,1,0,3.0,12,10,-15,-6,-59,0,0
18,09/02/2000,Ball State,19.0,34,85,26,14,174,1,2,Florida,40.0,32,130,46,21,327,0,1,-21.0,2,-45,-20,-7,-153,1,1
19,09/02/2000,Baylor,20.0,36,107,30,18,218,0,0,North Texas,7.0,34,95,17,10,144,2,2,13.0,2,12,13,8,74,-2,-2
20,09/02/2000,Boise State,31.0,35,139,34,17,168,0,0,New Mexico,14.0,44,156,26,12,122,2,0,17.0,-9,-17,8,5,46,-2,0
21,09/02/2000,Boston College,14.0,33,79,33,15,127,3,2,West Virginia,34.0,53,189,19,7,166,0,0,-20.0,-20,-110,14,8,-39,3,2
22,09/02/2000,Bowling Green,7.0,28,58,42,18,213,1,0,Michigan,42.0,53,289,19,15,265,0,2,-35.0,-25,-231,23,3,-52,1,-2
23,09/02/2000,Buffalo,7.0,33,102,36,16,168,2,3,Syracuse,63.0,50,304,9,6,82,1,0,-56.0,-17,-202,27,10,86,1,3
24,09/02/2000,Brigham Young,38.0,34,93,42,34,447,2,1,Virginia,35.0,42,270,23,13,217,1,0,3.0,-8,-177,19,21,230,1,1
25,09/02/2000,Central Florida,17.0,26,8,31,16,247,1,1,Georgia Tech,21.0,44,110,41,23,226,0,2,-4.0,-18,-102,-10,-7,21,1,-1
26,09/02/2000,Cincinnati,23.0,51,198,29,18,239,2,0,Army,17.0,34,120,29,14,123,1,1,6.0,17,78,0,4,116,1,-1
27,09/02/2000,Clemson,38.0,48,236,33,21,222,0,0,The Citadel,0.0,42,57,16,6,48,1,1,38.0,6,179,17,15,174,-1,-1
28,09/02/2000,Central Michigan,0.0,38,65,28,16,150,0,3,Purdue,48.0,40,145,45,26,336,0,0,-48.0,-2,-80,-17,-10,-186,0,3
29,09/02/2000,Colorado,24.0,45,223,39,25,309,0,0,Colorado State,28.0,28,65,30,19,327,2,0,-4.0,17,158,9,6,-18,-2,0
30,09/02/2000,Colorado State,28.0,28,65,30,19,327,2,0,Colorado,24.0,45,223,39,25,309,0,0,4.0,-17,-158,-9,-6,18,2,0
31,09/02/2000,Duke,0.0,31,44,25,10,96,3,0,East Carolina,38.0,43,164,31,22,264,0,1,-38.0,-12,-120,-6,-12,-168,3,-1
32,09/02/2000,East Carolina,38.0,43,164,31,22,264,0,1,Duke,0.0,31,44,25,10,96,3,0,38.0,12,120,6,12,168,-3,1
33,09/02/2000,Eastern Michigan,32.0,45,150,35,21,205,0,2,Connecticut,25.0,25,62,49,23,340,1,1,7.0,20,88,-14,-2,-135,-1,1
34,09/02/2000,Florida,40.0,32,130,46,21,327,0,1,Ball State,19.0,34,85,26,14,174,1,2,21.0,-2,45,20,7,153,-1,-1
