,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
0,0,08/28/2004,Miami-Ohio,49,39,162,37,24,292,1,2,Indiana State,0,31,44,33,18,160,1,2,H, ,49,8,118,4,6,132,0,0,2004
1,1,08/28/2004,Southern Cal,24,29,101,29,19,272,0,0,Virginia Tech,13,34,141,29,14,153,1,1,N,16,11,-5,-40,0,5,119,-1,-1,2004
2,2,08/28/2004,Virginia Tech,13,34,141,29,14,153,1,1,Southern Cal,24,29,101,29,19,272,0,0,N,-16,-11,5,40,0,-5,-119,1,1,2004
3,3,09/02/2004,Arizona State,41,42,131,44,23,356,1,0,Texas-El Paso,9,31,87,44,21,196,4,1,H,24.5,32,11,44,0,2,160,-3,-1,2004
4,4,09/02/2004,Ball State,11,33,64,33,19,147,0,0,Boston College,19,43,205,23,12,135,1,1,H,-17,-8,-10,-141,10,7,12,-1,-1,2004
5,5,09/02/2004,Boston College,19,43,205,23,12,135,1,1,Ball State,11,33,64,33,19,147,0,0,V,17,8,10,141,-10,-7,-12,1,1,2004
6,6,09/02/2004,Buffalo,34,48,225,44,19,174,2,1,Eastern Michigan,37,52,248,20,11,91,0,4,V,-6,-3,-4,-23,24,8,83,2,-3,2004
7,7,09/02/2004,Eastern Michigan,37,52,248,20,11,91,0,4,Buffalo,34,48,225,44,19,174,2,1,H,6,3,4,23,-24,-8,-83,-2,3,2004
8,8,09/02/2004,Northwestern,45,38,124,62,39,513,1,0,Texas Christian,48,36,157,38,20,368,1,1,V,-5.5,-3,2,-33,24,19,145,0,-1,2004
9,9,09/02/2004,Texas A+M,21,31,167,43,20,270,0,0,Utah,41,45,212,31,22,370,0,0,V,-9.5,-20,-14,-45,12,-2,-100,0,0,2004
10,10,09/02/2004,Texas Christian,48,36,157,38,20,368,1,1,Northwestern,45,38,124,62,39,513,1,0,H,5.5,3,-2,33,-24,-19,-145,0,1,2004
11,11,09/02/2004,Texas-El Paso,9,31,87,44,21,196,4,1,Arizona State,41,42,131,44,23,356,1,0,V,-24.5,-32,-11,-44,0,-2,-160,3,1,2004
12,12,09/02/2004,Utah,41,45,212,31,22,370,0,0,Texas A+M,21,31,167,43,20,270,0,0,H,9.5,20,14,45,-12,2,100,0,0,2004
13,13,09/02/2004,Western Michigan,42,38,108,23,16,215,1,1,Tennessee-Martin,0,37,86,25,9,136,1,1,H, ,42,1,22,-2,7,79,0,0,2004
14,14,09/03/2004,New Mexico,17,43,186,31,16,229,3,1,Washington State,21,31,31,38,24,240,2,1,H,-3,-4,12,155,-7,-8,-11,1,0,2004
15,15,09/03/2004,Washington State,21,31,31,38,24,240,2,1,New Mexico,17,43,186,31,16,229,3,1,V,3,4,-12,-155,7,8,11,-1,0,2004
16,16,09/04/2004,Air Force,14,53,182,18,9,89,1,1,California,56,44,342,18,12,231,0,0,H,-14,-42,9,-160,0,-3,-142,1,1,2004
17,17,09/04/2004,Akron,10,31,72,36,29,223,2,1,Penn State,48,41,352,23,16,193,0,0,V,-15.5,-38,-10,-280,13,13,30,2,1,2004
18,18,09/04/2004,Alabama,48,44,255,22,16,205,0,0,Utah State,17,25,61,34,17,205,2,0,H,26,31,19,194,-12,-1,0,-2,0,2004
19,19,09/04/2004,Alabama-Birmingham,56,53,343,17,9,173,1,1,Baylor,14,26,58,44,28,228,3,2,H,14,42,27,285,-27,-19,-55,-2,-1,2004
20,20,09/04/2004,Arizona,21,42,136,23,18,171,0,1,Northern Arizona,3,30,104,37,20,176,3,1,H, ,18,12,32,-14,-2,-5,-3,0,2004
21,21,09/04/2004,Arkansas,63,54,221,24,18,327,0,0,New Mexico State,13,29,55,26,17,161,0,3,H,21,50,25,166,-2,1,166,0,-3,2004
22,22,09/04/2004,Arkansas State,20,36,88,37,26,350,1,1,Missouri,52,34,263,24,16,243,1,1,V,-35.5,-32,2,-175,13,10,107,0,0,2004
23,23,09/04/2004,Auburn,31,41,194,24,14,186,1,1,UL-Monroe,0,35,140,23,17,99,1,2,H,34.5,31,6,54,1,-3,87,0,-1,2004
24,24,09/04/2004,Baylor,14,26,58,44,28,228,3,2,Alabama-Birmingham,56,53,343,17,9,173,1,1,V,-14,-42,-27,-285,27,19,55,2,1,2004
25,25,09/04/2004,Boise State,65,47,254,22,16,318,1,2,Idaho,7,33,121,29,13,91,1,1,H,29.5,58,14,133,-7,3,227,0,1,2004
26,26,09/04/2004,Bowling Green,24,19,51,41,24,218,0,1,Oklahoma,40,52,258,31,21,238,1,1,V,-33,-16,-33,-207,10,3,-20,-1,0,2004
27,27,09/04/2004,Brigham Young,20,35,22,33,22,263,1,1,Notre Dame,17,21,11,47,26,265,0,1,H,-6,3,14,11,-14,-4,-2,1,0,2004
28,28,09/04/2004,California,56,44,342,18,12,231,0,0,Air Force,14,53,182,18,9,89,1,1,V,14,42,-9,160,0,3,142,-1,-1,2004
29,29,09/04/2004,Central Michigan,10,34,114,43,23,275,2,0,Indiana,41,51,203,17,11,131,0,2,V,-10,-31,-17,-89,26,12,144,2,-2,2004
30,30,09/04/2004,Cincinnati,6,26,76,37,17,162,0,0,Ohio State,27,43,220,29,16,242,2,1,V,-13,-21,-17,-144,8,1,-80,-2,-1,2004
31,31,09/04/2004,Clemson,37,35,83,41,20,288,2,1,Wake Forest,30,54,254,25,10,156,0,1,H,11.5,7,-19,-171,16,10,132,2,0,2004
32,32,09/04/2004,Colorado,27,45,255,25,13,117,1,0,Colorado State,24,28,44,42,29,403,1,0,H,4.5,3,17,211,-17,-16,-286,0,0,2004
33,33,09/04/2004,Colorado State,24,28,44,42,29,403,1,0,Colorado,27,45,255,25,13,117,1,0,V,-4.5,-3,-17,-211,17,16,286,0,0,2004
34,34,09/04/2004,Connecticut,52,40,144,32,20,386,2,0,Murray State,14,39,76,19,7,91,1,0,H, ,38,1,68,13,13,295,1,0,2004
35,35,09/04/2004,Duke,12,39,175,22,13,90,0,0,Navy,27,57,301,9,8,129,0,3,V,-7,-15,-18,-126,13,5,-39,0,-3,2004
36,36,09/04/2004,East Carolina,23,28,59,51,26,322,2,1,West Virginia,56,56,478,15,6,143,2,0,V,-28,-33,-28,-419,36,20,179,0,1,2004
37,37,09/04/2004,Florida Atlantic,35,39,147,46,29,298,3,0,Hawaii,28,10,27,66,38,302,0,0,V,-25,7,29,120,-20,-9,-4,3,0,2004
38,38,09/04/2004,Georgia,48,31,191,22,11,231,0,0,Georgia Southern,28,63,294,15,6,54,1,1,H, ,20,-32,-103,7,5,177,-1,-1,2004
39,39,09/04/2004,Georgia Tech,28,45,268,22,14,201,1,1,Samford,7,16,42,44,29,169,0,1,H, ,21,29,226,-22,-15,32,1,0,2004
40,40,09/04/2004,Hawaii,28,10,27,66,38,302,0,0,Florida Atlantic,35,39,147,46,29,298,3,0,H,25,-7,-29,-120,20,9,4,-3,0,2004
41,41,09/04/2004,Idaho,7,33,121,29,13,91,1,1,Boise State,65,47,254,22,16,318,1,2,V,-29.5,-58,-14,-133,7,-3,-227,0,-1,2004
42,42,09/04/2004,Illinois,52,48,296,23,18,258,0,0,Florida A+M,13,25,71,55,37,287,2,1,H, ,39,23,225,-32,-19,-29,-2,-1,2004
43,43,09/04/2004,Indiana,41,51,203,17,11,131,0,2,Central Michigan,10,34,114,43,23,275,2,0,H,10,31,17,89,-26,-12,-144,-2,2,2004
44,44,09/04/2004,Iowa,39,57,197,30,18,223,1,0,Kent State,7,19,-13,36,19,123,2,2,H,31,32,38,210,-6,-1,100,-1,-2,2004
45,45,09/04/2004,Iowa State,23,56,202,28,17,176,0,0,Northern Iowa,0,32,36,19,8,63,0,0,H, ,23,24,166,9,9,113,0,0,2004
46,46,09/04/2004,Kansas,21,36,102,31,14,99,1,0,Tulsa,3,35,50,24,11,91,2,1,H,3,18,1,52,7,3,8,-1,-1,2004
47,47,09/04/2004,Kansas State,27,60,306,21,14,196,0,1,Western Kentucky,13,25,77,21,10,182,0,0,H, ,14,35,229,0,4,14,0,1,2004
48,48,09/04/2004,Kent State,7,19,-13,36,19,123,2,2,Iowa,39,57,197,30,18,223,1,0,V,-31,-32,-38,-210,6,1,-100,1,2,2004
49,49,09/04/2004,Louisiana State,22,30,91,44,16,211,1,1,Oregon State,21,31,84,47,26,231,1,2,H,18,1,-1,7,-3,-10,-20,0,-1,2004
50,50,09/04/2004,Marshall,15,34,25,28,14,152,1,1,Troy State,17,42,65,27,13,196,2,0,H,14,-2,-8,-40,1,1,-44,-1,1,2004
