,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
0,0,08/28/2008,Ball State,48,31,190,26,22,297,0,0,Northeastern,14,32,93,37,20,231,0,0,H, ,34,-1,97,-11,2,66,0,0,2008
1,1,08/28/2008,Baylor,13,34,94,30,15,156,2,3,Wake Forest,41,44,156,36,27,220,0,2,H,-12 ,-28,-10,-62,-6,-12,-64,2,1,2008
2,2,08/28/2008,Buffalo,42,50,263,16,10,221,0,2,UTEP,17,26,67,37,20,199,3,0,H,3,25,24,196,-21,-10,22,-3,2,2008
3,3,08/28/2008,Central Michigan,31,44,172,31,21,217,0,0,Eastern Illinois,12,31,83,28,19,201,0,1,H, ,19,13,89,3,2,16,0,-1,2008
4,4,08/28/2008,Cincinnati,40,44,209,35,26,348,0,1,Eastern Kentucky,7,28,48,18,13,147,1,1,H, ,33,16,161,17,13,201,-1,0,2008
5,5,08/28/2008,Connecticut,35,43,218,30,18,233,3,2,Hofstra,3,28,40,28,17,130,2,1,H, ,32,15,178,2,1,103,1,1,2008
6,6,08/28/2008,Eastern Michigan,52,53,413,29,21,224,0,1,Indiana State,0,31,75,23,7,57,3,0,H, ,52,22,338,6,14,167,-3,1,2008
7,7,08/28/2008,Georgia Tech,41,46,349,15,8,135,0,2,Jacksonville St,14,31,122,37,22,136,2,2,H, ,27,15,227,-22,-14,-1,-2,0,2008
8,8,08/28/2008,Iowa State,44,42,229,19,13,159,0,3,South Dakota State,17,25,180,37,23,170,5,1,H, ,27,17,49,-18,-10,-11,-5,2,2008
9,9,08/28/2008,Miami-Florida,52,38,224,27,17,192,0,1,Charleston Southern,7,30,49,22,11,77,0,1,H, ,45,8,175,5,6,115,0,0,2008
10,10,08/28/2008,Miami-Ohio,13,25,96,42,19,244,3,0,Vanderbilt,34,50,269,16,9,91,0,2,H,3.5,-21,-25,-173,26,10,153,3,-2,2008
11,11,08/28/2008,Middle Tennessee,17,50,84,34,20,200,1,1,Troy,31,36,164,28,17,136,1,3,H,-6,-14,14,-80,6,3,64,0,-2,2008
12,12,08/28/2008,No Carolina State,0,37,89,20,5,49,2,2,South Carolina,34,42,171,27,17,198,4,0,V,-14,-34,-5,-82,-7,-12,-149,-2,2,2008
13,13,08/28/2008,Oregon State,28,28,86,54,34,404,2,1,Stanford,36,48,210,17,10,91,0,0,V,2.5,-8,-20,-124,37,24,313,2,1,2008
14,14,08/28/2008,South Carolina,34,42,171,27,17,198,4,0,No Carolina State,0,37,89,20,5,49,2,2,H,14,34,5,82,7,12,149,2,-2,2008
15,15,08/28/2008,Stanford,36,48,210,17,10,91,0,0,Oregon State,28,28,86,54,34,404,2,1,H,-2.5,8,20,124,-37,-24,-313,-2,-1,2008
16,16,08/28/2008,Troy,31,36,164,28,17,136,1,3,Middle Tennessee,17,50,84,34,20,200,1,1,V,6,14,-14,80,-6,-3,-64,0,2,2008
17,17,08/28/2008,UTEP,17,26,67,37,20,199,3,0,Buffalo,42,50,263,16,10,221,0,2,V,-3,-25,-24,-196,21,10,-22,3,-2,2008
18,18,08/28/2008,Vanderbilt,34,50,269,16,9,91,0,2,Miami-Ohio,13,25,96,42,19,244,3,0,V,-3.5,21,25,173,-26,-10,-153,-3,2,2008
19,19,08/28/2008,Wake Forest,41,44,156,36,27,220,0,2,Baylor,13,34,94,30,15,156,2,3,V,12,28,10,62,6,12,64,-2,-1,2008
20,20,08/29/2008,Army,7,58,210,15,6,74,1,2,Temple,35,30,84,23,16,166,1,1,H,-7,-28,28,126,-8,-10,-92,0,1,2008
21,21,08/29/2008,Rice,56,44,208,37,24,258,0,2,S-M-U,27,14,11,49,30,326,3,2,H,3,29,30,197,-12,-6,-68,-3,0,2008
22,22,08/29/2008,S-M-U,27,14,11,49,30,326,3,2,Rice,56,44,208,37,24,258,0,2,V,-3,-29,-30,-197,12,6,68,3,0,2008
23,23,08/29/2008,Temple,35,30,84,23,16,166,1,1,Army,7,58,210,15,6,74,1,2,V,7,28,-28,-126,8,10,92,0,-1,2008
24,24,08/30/2008,Air Force,41,76,433,12,8,75,0,2,Southern Utah,7,23,7,25,15,123,0,2,H, ,34,53,426,-13,-7,-48,0,0,2008
25,25,08/30/2008,Akron,17,22,70,37,22,227,0,1,Wisconsin,38,63,404,10,7,75,1,2,V,-26.5,-21,-41,-334,27,15,152,-1,-1,2008
26,26,08/30/2008,Alabama,34,50,239,30,22,180,0,0,Clemson,10,14,0,34,20,188,1,1,N,-4.5,24,36,239,-4,2,-8,-1,-1,2008
27,27,08/30/2008,Arizona,70,49,265,31,23,256,0,0,Idaho,0,25,64,27,10,48,4,1,H,27,70,24,201,4,13,208,-4,-1,2008
28,28,08/30/2008,Arizona State,30,23,94,36,23,387,0,1,Northern Arizona,13,42,139,36,19,169,0,0,H, ,17,-19,-45,0,4,218,0,1,2008
29,29,08/30/2008,Arkansas,28,21,76,41,25,318,1,2,Western Illinois,24,46,157,26,10,105,0,0,H, ,4,-25,-81,15,15,213,1,2,2008
